Unnamed: 0,dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total,size,size_bytes,source,DatasetID,Type Subject,modality of exp,type of exp,record_modality,dataset_title,license,doi,nemar_citation_count
0,EEG2025r1,1342,136,10,129,100,,0B,0,nemar,EEG2025r1,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1,
1,EEG2025r10,2516,533,8,129,100,,0B,0,nemar,EEG2025r10,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),CC-BY-SA 4.0,,
2,EEG2025r10mini,220,20,8,129,100,,0B,0,nemar,EEG2025r10mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),CC-BY-SA 4.0,,
3,EEG2025r11,3397,430,8,129,100,,0B,0,nemar,EEG2025r11,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),CC-BY-SA 4.0,,
4,EEG2025r11mini,220,20,8,129,100,,0B,0,nemar,EEG2025r11mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),CC-BY-SA 4.0,,
5,EEG2025r1mini,239,20,10,129,100,,0B,0,nemar,EEG2025r1mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1,
6,EEG2025r2,1405,150,10,129,100,,0B,0,nemar,EEG2025r2,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1,
7,EEG2025r2mini,240,20,10,129,100,,0B,0,nemar,EEG2025r2mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1,
8,EEG2025r3,1812,184,10,129,100,,0B,0,nemar,EEG2025r3,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1,
9,EEG2025r3mini,240,20,10,129,100,,0B,0,nemar,EEG2025r3mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1,
10,EEG2025r4,3342,324,10,129,100,,0B,0,nemar,EEG2025r4,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 4 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005508.v1.0.1,
11,EEG2025r4mini,240,20,10,129,100,,0B,0,nemar,EEG2025r4mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 4 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005508.v1.0.1,
12,EEG2025r5,3326,330,10,129,100,,0B,0,nemar,EEG2025r5,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 5 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005509.v1.0.1,
13,EEG2025r5mini,240,20,10,129,100,,0B,0,nemar,EEG2025r5mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 5 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005509.v1.0.1,
14,EEG2025r6,1227,135,10,129,100,,0B,0,nemar,EEG2025r6,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 6 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005510.v1.0.1,
15,EEG2025r6mini,237,20,10,129,100,,0B,0,nemar,EEG2025r6mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 6 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005510.v1.0.1,
16,EEG2025r7,3100,381,10,129*,100,,0B,0,nemar,EEG2025r7,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 7 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005511.v1.0.1,
17,EEG2025r7mini,239,20,10,129,100,,0B,0,nemar,EEG2025r7mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 7 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005511.v1.0.1,
18,EEG2025r8,2320,257,10,129,100,,0B,0,nemar,EEG2025r8,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 8 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005512.v1.0.1,
19,EEG2025r8mini,238,20,10,129,100,,0B,0,nemar,EEG2025r8mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 8 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005512.v1.0.1,
20,EEG2025r9,2885,295,10,129,100,,0B,0,nemar,EEG2025r9,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 9 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005514.v1.0.1,
21,EEG2025r9mini,237,20,10,129,100,,0B,0,nemar,EEG2025r9mini,Development,Visual,Clinical/Intervention,eeg,Healthy Brain Network (HBN) EEG - Release 9 (BDF Converted),CC-BY-SA 4.0,10.18112/openneuro.ds005514.v1.0.1,
22,ds000117,104,17,2,394,1100,,87.65 GB,94108833435,openneuro,ds000117,Healthy,Visual,Perception,meg,"Multisubject, multimodal face processing",CC0,doi:10.18112/openneuro.ds000117.v1.1.0,77.0
23,ds000246,3,2,2,340*,2400,0.2083333333333333,2.29 GB,2457671893,openneuro,ds000246,Healthy,Auditory,Perception,meg,MEG-BIDS Brainstorm data sample,CC0,doi:10.18112/openneuro.ds000246.v1.0.1,1.0
